"ID_UNIDADE_OPERACIONAL","NM_UNIDADE_OPERACIONAL","ID_ENTIDADE","DS_COMPLEMENTO","CD_OPERACIONAL","ID_UNIDADE_OPERACIONAL_PAI","FL_CRIACAO_BO","FL_CRIACAO_BOF","FL_CRIACAO_BOI","FL_CRIACAO_IP","FL_TREINAMENTO","ID_PONTO_REFERENCIA"
4286,CADEIA PÚBLICA DE RIACHO DAS ALMAS,16,,CP - RIACHO DAS ALMAS,,N,N,N,N,N,
4291,CADEIA PÚBLICA DE SÃO BENTO DO UNA,16,,CP - SÃO BENTO DO UNA,,N,N,N,N,N,
4292,CADEIA PÚBLICA DE SÃO JOAQUIM,16,,CP - SÃO JOAQUIM,,N,N,N,N,N,
4293,CADEIA PÚBLICA DE SÃO JOSÉ DO BELMONTE,16,,CP - SÃO JOSÉ DO BELMONTE,,N,N,N,N,N,
4294,CADEIA PÚBLICA DE SÃO JOSÉ DO EGITO,16,,CP - SÃO JOSÉ DO EGITO,,N,N,N,N,N,
4295,CADEIA PÚBLICA DE SERRA TALHADA,16,,CP - SERRA TALHADA,,N,N,N,N,N,
4296,CADEIA PÚBLICA DE SERTÂNIA,16,,CP - SERTÂNIA,,N,N,N,N,N,
4297,CADEIA PÚBLICA DE TABIRA,16,,CP - TABIRA,,N,N,N,N,N,
4298,CADEIA PÚBLICA DE TAQUARITINGA DO NORTE,16,,CP - TAQUARITINGA DO NORTE,,N,N,N,N,N,
4299,CADEIA PÚBLICA DE TIMBAÚBA,16,,CP - TIMBAÚBA,,N,N,N,N,N,
4300,CADEIA PÚBLICA DE TRINDADE,16,,CP - TRINDADE,,N,N,N,N,N,
4301,CADEIA PÚBLICA DE TUPARETAMA,16,,CP - TUPARETAMA,,N,N,N,N,N,
4302,CADEIA PÚBLICA DE VENTUROSA,16,,CP - VENTUROSA,,N,N,N,N,N,
4303,CADEIA PÚBLICA DE VERDEJANTE,16,,CP - VERDEJANTE,,N,N,N,N,N,
4304,CADEIA PÚBLICA DE VICÊNCIA,16,,CP - VICÊNCIA,,N,N,N,N,N,
4305,POLICIA CIVIL ESTADO DE RONDONIA,65,,PCRO,,N,N,N,N,N,
4306,POLICIA CIVIL ESTADO DO ACRE,25,,PCAC,,N,N,N,N,N,
4307,POLICIA CIVIL ESTADO DE ALAGOAS,27,,PCAL,,N,N,N,N,N,
4308,POLICIA CIVIL ESTADO DO AMAPA,29,,PCAM,,N,N,N,N,N,
4309,POLICIA CIVIL ESTADO DO AMAZONAS,31,,PCAM,,N,N,N,N,N,
4310,POLICIA CIVIL ESTADO DA BAHIA,33,,PCBA,,N,N,N,N,N,
4311,POLICIA CIVIL DO ESTADO DO CEARA,35,,PCCE,,N,N,N,N,N,
4312,POLICIA CIVIL DO DISTRITO FEDERAL,37,,PCDF,,N,N,N,N,N,
4313,POLICIA CIVIL DO ESTADO DO ESPÍRITO SANTO,39,,PCES,,N,N,N,N,N,
4314,POLICIA CIVIL DO ESTADO DE GOIAS,41,,PCGO,,N,N,N,N,N,
4315,POLICIA CIVIL DO ESTADO DO MARANHÃO,43,,PCMA,,N,N,N,N,N,
4316,POLICIA CIVIL DO ESTADO DO MATO GROSSO,45,,PCMT,,N,N,N,N,N,
4317,POLICIA CIVIL DO ESTADO DO MATO GROSSO DO SUL,47,,PCMS,,N,N,N,N,N,
4318,POLICIA CIVIL DO ESTADO DO MINAS GERAIS,49,,PCMG,,N,N,N,N,N,
4319,POLICIA CIVIL DO ESTADO DO PARA,51,,PCPA,,N,N,N,N,N,
4320,POLICIA CIVIL DO ESTADO DA PARAIBA,53,,PCPB,,N,N,N,N,N,
4322,POLICIA CIVIL DO ESTADO DO PIAUI,57,,PCPI,,N,N,N,N,N,
4323,POLICIA CIVIL DO ESTADO DO RIO DE JANEIRO,59,,PCRJ,,N,N,N,N,N,
